,Year,Title,Genres,Length,Letterboxd Ratings,Directors
0,2005,Batman Begins,"['Crime', 'Action', 'Drama']",140,"{'0.5': '1,121\xa0half-★ ratings (0%)', '1': '3,745\xa0★ ratings (0%)', '1.5': '3,219\xa0★½ ratings (0%)', '2': '21,064\xa0★★ ratings (2%)', '2.5': '27,609\xa0★★½ ratings (3%)', '3': '159,107\xa0★★★ ratings (16%)', '3.5': '205,576\xa0★★★½ ratings (21%)', '4': '363,401\xa0★★★★ ratings (36%)', '4.5': '104,511\xa0★★★★½ ratings (10%)', '5': '111,586\xa0★★★★★ ratings (11%)'}","[['Christopher Nolan', 'Gender\nMale', 'Birthday\nJuly 30, 1970 (53 years old)']]"
1,2005,Harry Potter and the Goblet of Fire,"['Adventure', 'Fantasy']",157,"{'0.5': '2,483\xa0half-★ ratings (0%)', '1': '6,176\xa0★ ratings (1%)', '1.5': '4,717\xa0★½ ratings (0%)', '2': '27,722\xa0★★ ratings (3%)', '2.5': '35,664\xa0★★½ ratings (4%)', '3': '161,374\xa0★★★ ratings (16%)', '3.5': '166,585\xa0★★★½ ratings (17%)', '4': '297,044\xa0★★★★ ratings (30%)', '4.5': '87,880\xa0★★★★½ ratings (9%)', '5': '192,059\xa0★★★★★ ratings (20%)'}","[['Mike Newell', 'Gender\nMale', 'Birthday\nMarch 28, 1942 (81 years old)']]"
2,2005,Pride & Prejudice,"['Drama', 'Romance']",127,"{'0.5': '1,775\xa0half-★ ratings (0%)', '1': '4,233\xa0★ ratings (1%)', '1.5': '2,691\xa0★½ ratings (0%)', '2': '14,844\xa0★★ ratings (2%)', '2.5': '14,996\xa0★★½ ratings (2%)', '3': '68,097\xa0★★★ ratings (10%)', '3.5': '72,391\xa0★★★½ ratings (10%)', '4': '174,529\xa0★★★★ ratings (25%)', '4.5': '77,967\xa0★★★★½ ratings (11%)', '5': '274,146\xa0★★★★★ ratings (39%)'}","[['Joe Wright', 'Gender\nMale', 'Birthday\nAugust 25, 1972 (51 years old)']]"
3,2005,Star Wars: Episode III – Revenge of the Sith,"['Science Fiction', 'Adventure', 'Action']",140,"{'0.5': '4,168\xa0half-★ ratings (0%)', '1': '13,576\xa0★ ratings (2%)', '1.5': '10,849\xa0★½ ratings (1%)', '2': '43,122\xa0★★ ratings (5%)', '2.5': '43,450\xa0★★½ ratings (5%)', '3': '140,332\xa0★★★ ratings (16%)', '3.5': '130,010\xa0★★★½ ratings (15%)', '4': '209,881\xa0★★★★ ratings (24%)', '4.5': '92,068\xa0★★★★½ ratings (10%)', '5': '198,039\xa0★★★★★ ratings (22%)'}","[['George Lucas', 'Gender\nMale', 'Birthday\nMay 14, 1944 (79 years old)']]"
4,2005,Brokeback Mountain,"['Romance', 'Drama']",134,"{'0.5': '1,380\xa0half-★ ratings (0%)', '1': '2,572\xa0★ ratings (0%)', '1.5': '1,543\xa0★½ ratings (0%)', '2': '8,982\xa0★★ ratings (2%)', '2.5': '9,340\xa0★★½ ratings (2%)', '3': '51,686\xa0★★★ ratings (9%)', '3.5': '64,779\xa0★★★½ ratings (12%)', '4': '177,870\xa0★★★★ ratings (32%)', '4.5': '86,119\xa0★★★★½ ratings (16%)', '5': '147,151\xa0★★★★★ ratings (27%)'}","[['Ang Lee', 'Gender\nMale', 'Birthday\nOctober 23, 1954 (69 years old)']]"
5,2005,Charlie and the Chocolate Factory,"['Fantasy', 'Comedy', 'Adventure', 'Family']",115,"{'0.5': '8,605\xa0half-★ ratings (1%)', '1': '23,073\xa0★ ratings (3%)', '1.5': '18,644\xa0★½ ratings (2%)', '2': '71,625\xa0★★ ratings (9%)', '2.5': '69,741\xa0★★½ ratings (9%)', '3': '197,344\xa0★★★ ratings (25%)', '3.5': '129,266\xa0★★★½ ratings (16%)', '4': '156,191\xa0★★★★ ratings (20%)', '4.5': '31,713\xa0★★★★½ ratings (4%)', '5': '84,721\xa0★★★★★ ratings (11%)'}","[['Tim Burton', 'Gender\nMale', 'Birthday\nAugust 25, 1958 (65 years old)']]"
6,2005,Corpse Bride,"['Animation', 'Fantasy', 'Romance']",77,"{'0.5': '819\xa0half-★ ratings (0%)', '1': '2,794\xa0★ ratings (0%)', '1.5': '2,542\xa0★½ ratings (0%)', '2': '15,279\xa0★★ ratings (3%)', '2.5': '19,394\xa0★★½ ratings (3%)', '3': '90,487\xa0★★★ ratings (15%)', '3.5': '98,953\xa0★★★½ ratings (17%)', '4': '172,400\xa0★★★★ ratings (29%)', '4.5': '48,300\xa0★★★★½ ratings (8%)', '5': '137,559\xa0★★★★★ ratings (23%)'}","[['Tim Burton', 'Gender\nMale', 'Birthday\nAugust 25, 1958 (65 years old)'], ['Mike Johnson', 'Gender\nMale', 'Birthday\n-']]"
7,2005,V for Vendetta,"['Thriller', 'Science Fiction', 'Action']",132,"{'0.5': '1,428\xa0half-★ ratings (0%)', '1': '3,731\xa0★ ratings (1%)', '1.5': '3,287\xa0★½ ratings (1%)', '2': '15,801\xa0★★ ratings (3%)', '2.5': '19,218\xa0★★½ ratings (4%)', '3': '78,109\xa0★★★ ratings (15%)', '3.5': '94,822\xa0★★★½ ratings (18%)', '4': '166,713\xa0★★★★ ratings (31%)', '4.5': '61,387\xa0★★★★½ ratings (12%)', '5': '85,064\xa0★★★★★ ratings (16%)'}","[['James McTeigue', 'Gender\nMale', 'Birthday\nDecember 29, 1967 (56 years old)']]"
8,2005,Mr. & Mrs. Smith,"['Thriller', 'Drama', 'Action', 'Comedy']",119,"{'0.5': '2,372\xa0half-★ ratings (1%)', '1': '7,814\xa0★ ratings (2%)', '1.5': '8,369\xa0★½ ratings (2%)', '2': '37,771\xa0★★ ratings (9%)', '2.5': '46,593\xa0★★½ ratings (11%)', '3': '126,742\xa0★★★ ratings (30%)', '3.5': '78,331\xa0★★★½ ratings (18%)', '4': '74,041\xa0★★★★ ratings (17%)', '4.5': '14,148\xa0★★★★½ ratings (3%)', '5': '33,365\xa0★★★★★ ratings (8%)'}","[['Doug Liman', 'Gender\nMale', 'Birthday\nJuly 24, 1965 (58 years old)']]"
9,2005,Madagascar,"['Family', 'Adventure', 'Comedy', 'Animation']",86,"{'0.5': '1,222\xa0half-★ ratings (0%)', '1': '4,964\xa0★ ratings (1%)', '1.5': '5,185\xa0★½ ratings (1%)', '2': '25,433\xa0★★ ratings (5%)', '2.5': '33,769\xa0★★½ ratings (7%)', '3': '127,847\xa0★★★ ratings (27%)', '3.5': '98,080\xa0★★★½ ratings (21%)', '4': '107,497\xa0★★★★ ratings (23%)', '4.5': '19,489\xa0★★★★½ ratings (4%)', '5': '50,935\xa0★★★★★ ratings (11%)'}","[['Eric Darnell', 'Gender\nMale', 'Birthday\nAugust 21, 1961 (62 years old)'], ['Tom McGrath', 'Gender\nMale', 'Birthday\nAugust 7, 1964 (59 years old)']]"
10,2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['Adventure', 'Fantasy', 'Family']",143,"{'0.5': '1,526\xa0half-★ ratings (0%)', '1': '5,412\xa0★ ratings (1%)', '1.5': '5,302\xa0★½ ratings (1%)', '2': '25,904\xa0★★ ratings (6%)', '2.5': '31,438\xa0★★½ ratings (7%)', '3': '104,069\xa0★★★ ratings (24%)', '3.5': '81,369\xa0★★★½ ratings (19%)', '4': '98,797\xa0★★★★ ratings (23%)', '4.5': '21,814\xa0★★★★½ ratings (5%)', '5': '55,634\xa0★★★★★ ratings (13%)'}","[['Andrew Adamson', 'Gender\nMale', 'Birthday\nDecember 1, 1966 (57 years old)']]"
11,2005,The 40 Year Old Virgin,"['Romance', 'Comedy']",116,"{'0.5': '2,320\xa0half-★ ratings (1%)', '1': '6,187\xa0★ ratings (2%)', '1.5': '5,472\xa0★½ ratings (2%)', '2': '23,836\xa0★★ ratings (7%)', '2.5': '29,629\xa0★★½ ratings (8%)', '3': '94,842\xa0★★★ ratings (27%)', '3.5': '80,985\xa0★★★½ ratings (23%)', '4': '78,715\xa0★★★★ ratings (22%)', '4.5': '15,430\xa0★★★★½ ratings (4%)', '5': '17,761\xa0★★★★★ ratings (5%)'}","[['Judd Apatow', 'Gender\nMale', 'Birthday\nDecember 6, 1967 (56 years old)']]"
12,2005,Saw II,['Horror'],93,"{'0.5': '1,635\xa0half-★ ratings (1%)', '1': '5,030\xa0★ ratings (2%)', '1.5': '6,090\xa0★½ ratings (2%)', '2': '24,186\xa0★★ ratings (9%)', '2.5': '29,729\xa0★★½ ratings (11%)', '3': '76,518\xa0★★★ ratings (29%)', '3.5': '48,967\xa0★★★½ ratings (18%)', '4': '46,064\xa0★★★★ ratings (17%)', '4.5': '10,763\xa0★★★★½ ratings (4%)', '5': '18,039\xa0★★★★★ ratings (7%)'}","[['Darren Lynn Bousman', 'Gender\nMale', 'Birthday\nJanuary 11, 1979 (45 years old)']]"
13,2005,The Descent,"['Horror', 'Adventure']",99,"{'0.5': '826\xa0half-★ ratings (0%)', '1': '2,088\xa0★ ratings (1%)', '1.5': '2,292\xa0★½ ratings (1%)', '2': '8,541\xa0★★ ratings (4%)', '2.5': '11,693\xa0★★½ ratings (5%)', '3': '38,192\xa0★★★ ratings (17%)', '3.5': '49,552\xa0★★★½ ratings (22%)', '4': '68,547\xa0★★★★ ratings (31%)', '4.5': '20,465\xa0★★★★½ ratings (9%)', '5': '20,782\xa0★★★★★ ratings (9%)'}","[['Neil Marshall', 'Gender\nMale', 'Birthday\nMay 25, 1970 (53 years old)']]"
14,2005,Sin City,"['Thriller', 'Crime', 'Action']",124,"{'0.5': '1,087\xa0half-★ ratings (0%)', '1': '2,971\xa0★ ratings (1%)', '1.5': '2,390\xa0★½ ratings (1%)', '2': '10,306\xa0★★ ratings (4%)', '2.5': '11,410\xa0★★½ ratings (5%)', '3': '41,826\xa0★★★ ratings (18%)', '3.5': '46,983\xa0★★★½ ratings (20%)', '4': '71,264\xa0★★★★ ratings (31%)', '4.5': '22,093\xa0★★★★½ ratings (10%)', '5': '21,481\xa0★★★★★ ratings (9%)'}","[['Robert Rodriguez', 'Gender\nMale', 'Birthday\nJune 20, 1968 (55 years old)'], ['Frank Miller', 'Gender\nMale', 'Birthday\nJanuary 27, 1957 (67 years old)']]"
15,2005,King Kong,"['Drama', 'Action', 'Adventure']",187,"{'0.5': '1,184\xa0half-★ ratings (0%)', '1': '4,004\xa0★ ratings (2%)', '1.5': '4,019\xa0★½ ratings (2%)', '2': '19,270\xa0★★ ratings (7%)', '2.5': '23,810\xa0★★½ ratings (9%)', '3': '68,503\xa0★★★ ratings (26%)', '3.5': '52,330\xa0★★★½ ratings (20%)', '4': '50,224\xa0★★★★ ratings (19%)', '4.5': '14,077\xa0★★★★½ ratings (5%)', '5': '25,498\xa0★★★★★ ratings (10%)'}","[['Peter Jackson', 'Gender\nMale', 'Birthday\nOctober 31, 1961 (62 years old)']]"
16,2005,Robots,"['Science Fiction', 'Animation', 'Comedy', 'Family']",91,"{'0.5': '1,665\xa0half-★ ratings (1%)', '1': '5,707\xa0★ ratings (2%)', '1.5': '5,979\xa0★½ ratings (2%)', '2': '24,136\xa0★★ ratings (10%)', '2.5': '27,157\xa0★★½ ratings (11%)', '3': '67,963\xa0★★★ ratings (28%)', '3.5': '40,505\xa0★★★½ ratings (17%)', '4': '39,612\xa0★★★★ ratings (16%)', '4.5': '8,153\xa0★★★★½ ratings (3%)', '5': '23,172\xa0★★★★★ ratings (9%)'}","[['Chris Wedge', 'Gender\nMale', 'Birthday\nMarch 20, 1957 (66 years old)']]"
17,2005,Constantine,"['Fantasy', 'Action', 'Horror']",121,"{'0.5': '886\xa0half-★ ratings (0%)', '1': '2,772\xa0★ ratings (1%)', '1.5': '3,336\xa0★½ ratings (2%)', '2': '14,049\xa0★★ ratings (7%)', '2.5': '19,046\xa0★★½ ratings (9%)', '3': '54,540\xa0★★★ ratings (26%)', '3.5': '47,674\xa0★★★½ ratings (23%)', '4': '43,373\xa0★★★★ ratings (20%)', '4.5': '9,254\xa0★★★★½ ratings (4%)', '5': '16,761\xa0★★★★★ ratings (8%)'}","[['Francis Lawrence', 'Gender\nMale', 'Birthday\nMarch 26, 1971 (52 years old)']]"
18,2005,Chicken Little,"['Animation', 'Comedy', 'Family']",81,"{'0.5': '7,498\xa0half-★ ratings (3%)', '1': '17,085\xa0★ ratings (7%)', '1.5': '14,625\xa0★½ ratings (6%)', '2': '40,530\xa0★★ ratings (16%)', '2.5': '35,023\xa0★★½ ratings (14%)', '3': '62,416\xa0★★★ ratings (25%)', '3.5': '26,118\xa0★★★½ ratings (10%)', '4': '25,411\xa0★★★★ ratings (10%)', '4.5': '4,171\xa0★★★★½ ratings (2%)', '5': '16,005\xa0★★★★★ ratings (6%)'}","[['Mark Dindal', 'Gender\nMale', 'Birthday\nMay 31, 1960 (63 years old)']]"
