,Name,Gender,Birthdate,Genres
0,Peter Weir,Male,1944-08-21,"['Comedy', 'Romance', 'War', 'Adventure', 'Drama', 'Crime', 'Thriller', 'History']"
1,Rob Reiner,Male,1947-03-06,"['Fantasy', 'Comedy', 'Romance', 'Family', 'Horror', 'Music', 'Crime', 'Drama', 'Adventure', 'Thriller']"
2,Hayao Miyazaki,Male,1941-01-05,"['Fantasy', 'Comedy', 'Family', 'Romance', 'War', 'Adventure', 'Drama', 'Action', 'Animation']"
3,Robert Zemeckis,Male,1951-05-14,"['Fantasy', 'Comedy', 'Family', 'Romance', 'Horror', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Animation', 'Thriller', 'Action', 'Science Fiction']"
4,Steven Spielberg,Male,1946-12-18,"['Fantasy', 'Comedy', 'Romance', 'Family', 'Horror', 'War', 'Adventure', 'Action', 'Drama', 'Mystery', 'Animation', 'Thriller', 'History', 'Crime', 'Science Fiction']"
5,Michael Lehmann,Male,1957-03-30,"['Comedy', 'Music', 'Crime', 'Action', 'Adventure']"
6,Spike Lee,Male,1957-03-20,"['Comedy', 'Romance', 'Music', 'War', 'Crime', 'Drama', 'Mystery', 'Thriller', 'History']"
7,Ron Clements,Male,1953-04-25,"['Fantasy', 'Comedy', 'Family', 'Romance', 'Adventure', 'Mystery', 'Animation', 'Science Fiction']"
8,John Musker,Male,1953-11-08,"['Fantasy', 'Comedy', 'Family', 'Romance', 'Adventure', 'Mystery', 'Animation', 'Science Fiction']"
9,Tim Burton,Male,1958-08-25,"['Fantasy', 'Comedy', 'Family', 'Romance', 'Horror', 'Crime', 'Action', 'Drama', 'Mystery', 'Thriller', 'Adventure', 'Animation', 'History', 'Science Fiction']"
10,Jeremiah S. Chechik,Male,1955-01-01,"['Drama', 'Comedy']"
11,David Lynch,Male,1946-01-20,"['Comedy', 'Romance', 'Horror', 'Crime', 'Drama', 'Adventure', 'Mystery', 'Thriller', 'Action', 'History', 'TV Movie', 'Science Fiction']"
12,Stephen Herek,Male,1958-11-10,"['Comedy', 'Family', 'Horror', 'Adventure', 'Drama', 'Action', 'Science Fiction']"
13,Shinya Tsukamoto,Male,1960-01-01,"['Horror', 'Crime', 'Drama', 'Action', 'Thriller', 'Science Fiction']"
14,Ivan Reitman,Male,1946-10-27,"['Fantasy', 'Comedy', 'Romance', 'Action', 'Science Fiction']"
15,Steven Soderbergh,Male,1963-01-14,"['Comedy', 'Romance', 'Crime', 'Drama', 'Action', 'Mystery', 'Thriller', 'Science Fiction']"
16,Cameron Crowe,Male,1957-07-13,"['Fantasy', 'Comedy', 'Family', 'Romance', 'Music', 'Drama', 'Thriller']"
17,Mary Lambert,Female,1951-10-13,"['Fantasy', 'Family', 'Horror', 'Adventure', 'Drama', 'TV Movie']"
18,James Cameron,Male,1954-08-16,"['Fantasy', 'Romance', 'Horror', 'Adventure', 'Action', 'Drama', 'Thriller', 'Science Fiction']"
19,Peter Greenaway,Male,1942-04-05,"['Comedy', 'Crime', 'Drama', 'Mystery', 'History']"
20,Jim Jarmusch,Male,1953-01-22,"['Fantasy', 'Comedy', 'Romance', 'Horror', 'Crime', 'Drama', 'Mystery', 'Western']"
21,Joe Johnston,Male,1950-05-13,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Drama', 'Action', 'Thriller', 'Animation', 'Science Fiction']"
22,Brian Yuzna,Male,1949-08-30,"['Comedy', 'Romance', 'Horror', 'Mystery', 'Science Fiction']"
23,Phil Alden Robinson,Male,1950-03-01,"['Fantasy', 'Comedy', 'War', 'Crime', 'Drama']"
24,Joe Dante,Male,1946-11-28,"['Fantasy', 'Comedy', 'Family', 'Horror', 'Adventure', 'Action', 'Drama', 'Thriller', 'Animation', 'Science Fiction']"
25,Rowdy Herrington,Male,1951-01-01,"['Action', 'Thriller']"
26,Herbert Ross,Male,1927-05-13,"['Comedy', 'Romance', 'Music', 'Drama', 'Action']"
27,Gus Van Sant,Male,1952-07-24,"['Comedy', 'Romance', 'Horror', 'Crime', 'Drama', 'Mystery', 'Thriller', 'History']"
28,Dominique Othenin-Girard,Male,1958-02-13,"['Horror', 'Fantasy', 'Thriller']"
29,John Woo,Male,1946-09-22,"['War', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller', 'Science Fiction']"
30,Alejandro Jodorowsky,Male,1929-02-07,"['Horror', 'Drama', 'Thriller']"
31,Krzysztof Kieślowski,Male,1941-06-27,"['Fantasy', 'Comedy', 'Romance', 'Crime', 'Drama', 'Mystery', 'Documentary', 'TV Movie']"
32,Rob Hedden,Male,,"['Horror', 'Thriller']"
33,John Hughes,Male,1950-02-18,"['Comedy', 'Romance', 'Family', 'Drama', 'Science Fiction']"
34,Richard Donner,Male,1930-04-24,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Crime', 'Action', 'Drama', 'Thriller', 'Mystery', 'Western']"
35,Pedro Almodóvar,Male,1949-09-24,"['Comedy', 'Romance', 'Horror', 'Crime', 'Drama', 'Mystery', 'Thriller']"
36,Oliver Stone,Male,1946-09-15,"['Music', 'War', 'Crime', 'Drama', 'Action', 'Thriller', 'History']"
37,Jim Sheridan,Male,1949-02-06,"['Drama', 'Thriller', 'War']"
38,Stephen Hopkins,Male,1958-11-01,"['Horror', 'Adventure', 'Action', 'Thriller', 'Science Fiction']"
39,Edward Zwick,Male,1952-10-08,"['Comedy', 'Romance', 'War', 'Adventure', 'Drama', 'Action', 'Thriller', 'History', 'Western']"
40,Woody Allen,Male,1935-12-01,"['Fantasy', 'Comedy', 'Romance', 'Music', 'Crime', 'Drama', 'Mystery', 'Thriller']"
41,John Glen,Male,1932-05-15,"['Adventure', 'Action', 'Thriller']"
42,Bruce Beresford,Male,1940-08-16,"['Romance', 'Music', 'War', 'Crime', 'Drama', 'Mystery', 'Thriller', 'History']"
